bike_uuid,original_bike_id,bike_type
d95bafc8-f2a4-d27b-dcf4-bb99f4bea973,11235,standard
5c6e4337-15ba-2bdd-1772-19d30e7a269f,11971,standard
cf1822ff-bc68-8778-2b49-1044d5e34124,11972,standard
4067c358-4ee2-07f8-da94-e3e8ab73738f,11975,standard
0925e474-9b57-5bd1-3653-f8dd9b1f282e,11978,standard
ffed9235-288b-c781-ae66-267594c9c950,11979,standard
cdbd47d3-64be-8049-a372-db8f6e405d93,11982,standard
82523e86-feac-7eb7-dc38-f519b91751da,11986,standard
ef8acd12-8b4f-2fc1-5f3f-57ebf30b94fa,11990,standard
e6b58de7-44ab-6cce-8087-7b6f71e1f6d2,11994,standard
5d300cb9-0706-a045-defc-044a09325626,11996,standard
e8624fab-5186-ee32-ee8d-7ee9770348a0,11998,standard
e2520e33-e44c-5055-6c71-c4a66148a86f,11999,standard
2d6c797f-8f7d-9b78-2a1b-e9cd8697bbd0,12002,standard
2d3d854e-061b-9030-3b08-c6e33c729578,12006,standard
829a48d4-22fe-99a2-2c70-501e533c9135,12009,standard
83844b40-ffa9-b9f1-5c14-bc4a829e07b0,12014,standard
fec3f6b3-2e8d-4b8a-8f54-f8ceacaab39e,12015,standard
6a27e0df-cbf8-7544-7215-4e76e4c11ab2,12016,standard
e89204e2-e816-8561-867e-5e15bc01bfce,12017,standard
97eeab64-ca2c-e6bc-5d3f-d983c34c769f,12018,standard
dbe53fca-fb21-47df-5ca4-95fa5a91c89b,12019,standard
f4767f26-2943-65b2-721d-ea3bf63f23d0,12020,standard
bd143fa9-b714-210c-665d-7435c1066932,12024,standard
3ff98ff3-87c5-6473-a7a8-3ee0761ebfd2,12028,standard
7f81375e-ecc1-cb63-4773-3e847d718d73,12029,standard
cbd4d3e2-d4de-c9ef-83f0-be4e80371eb9,12032,standard
74667bff-e202-849d-a964-3a295a9ac6de,12034,standard
59cc60b1-7604-e4b4-e736-95c3e652c71a,12037,standard
8ebdbfe3-eb9a-c688-b9d3-9cca91551e82,12044,standard
a8acb513-7c92-60dc-74e0-88a9b9492f25,12045,standard
d08f1bb2-531d-6460-f0ca-eef038c89b38,12046,standard
e06f291b-2a83-8af8-d5c4-4a4eb3172062,12047,standard
c5e2486c-44a4-a8f6-9dc8-db48e86ec9c6,12053,standard
